TreeID,long,lat,species,latin species,year planted,diameter canopy,dbh,height,biomass
"327",389970.5128,"5816616",Spitz-Ahorn,Acer platanoides,"1875",14,343,18,1000.5
"328",389977.1699,"5816616","Sommer-Eiche, Stiel-Eiche",Quercus robur,"1955",8,154,17,1000.5
"329",389981.0178,"5816622",Eiche,Quercus spec.,"1954",12,153,20,1000.5
"447",390006.0944,"5816616",Spitz-Ahorn,Acer platanoides,"1939",5,189,10,1000.5
"448",389992.9338,"5816617",Flatter-Ulme,Ulmus laevis,"1969",5,123,18,1000.5
"449",389995.7909,"5816609",Spitz-Ahorn,Acer platanoides,"1947",12,176,20,1000.5
"450",390004.706,"5816608",Spitz-Ahorn,Acer platanoides,"1977",4,94,15,1000.5
"451",390003.0431,"5816607","Sommer-Eiche, Stiel-Eiche",Quercus robur,"1924",10,223,25,1000.5
"452",390002.1799,"5816603",Spitz-Ahorn,Acer platanoides,"1955",9,164,25,1000.5
"454",389995.7938,"5816599",Linde,Tilia spec.,"1978",4,96,18,1000.5
"455",389993.3157,"5816596","Sommer-Eiche, Stiel-Eiche",Quercus robur,"1924",15,234,20,1000.5
"456",389988.841,"5816608",Linde,Tilia spec.,"1941",10,188,24,1000.5
"457",389978.1589,"5816593",Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,"1971",4,134,16,1000.5
"458",389978.6798,"5816594",Österreichische Schwarzkiefer,Pinus nigra ssp. Nigra,"1968",5,141,18,1000.5
"948",389981.8507,"5816595",Schwarzkiefer,Pinus nigra,"1070",4,94,15,1000.5
"950",390005.6618,"5816624",Ulme,Ulmus spec.,"1980",8,84,17,1000.5
